TITLE,subtitle,Power,Enter Cost,Tags,Game Text,Flavorlogue,Stars,Art Credit,Picture,Set Release,Card Number,ID NUMBER,STAR PIC
JOHN EGBERT,bustin makes me feel good,3,3g,#HUMAN,Ability (1g) Destroy all opponent's #GHOST cards here with equal or less power this card's power + boons.,,3,,HSATCG DB 12-30 Characters_01.png,001 The Opening Note,C001,001-C001,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star3.png
JOHN EGBERT,unstuck from canon,4,6g,#HUMAN,"Once per round, this card may be refreshed during your turn for 1 boon.",,4,,HSATCG DB 12-30 Characters_02.png,001 The Opening Note,C002,001-C002,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star4.png
ROSE LALONDE,game breaker,3,4g,#HUMAN,"Ability (3b) Choose any executable card, and destroy it (without activating it.) Then, destroy this character card.",,4,,HSATCG DB 12-30 Characters_03.png,001 The Opening Note,C003,001-C003,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star4.png
ROSE LALONDE,guide writer,4,2g,#HUMAN,"Ability (1b) Look at the top card of anybody's deck. You may choose either to put the card back onto the top of their deck, or the bottom.",,3,,HSATCG DB 12-30 Characters_04.png,001 The Opening Note,C004,001-C004,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star3.png
DAVE STRIDER,stock market investor,4,2g,#HUMAN,"Whenever this card earns a Boon, you may choose to instead earn +1 grist.",,3,,HSATCG DB 12-30 Characters_05.png,001 The Opening Note,C005,001-C005,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star3.png
DAVE STRIDER,cut throat,4,1g,#HUMAN #GHOST,,,2,,HSATCG DB 12-30 Characters_06.png,001 The Opening Note,C006,001-C006,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star2.png
JADE HARLEY,rockin out,4,1g,#HUMAN,,,2,,HSATCG DB 12-30 Characters_07.png,001 The Opening Note,C007,001-C007,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star2.png
JADE HARLEY,dog tier,4,~ATH: Your #BEAST,#HUMAN #BEAST,This card gains +1 Power per boon,,4,,HSATCG DB 12-30 Characters_08.png,001 The Opening Note,C008,001-C008,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star4.png
JANE CROCKER,only one rez,4,4g,#HUMAN,"When you play this card, store a character card from your discard pile beneath it. // Ability (1b) Swap this card with it's stored card.",,4,,HSATCG DB 12-30 Characters_09.png,001 The Opening Note,C009,001-C009,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star4.png
JANE CROCKER,heir to the empire,4,~ATH: Any #TROLL,#HUMAN,Ability (2g) All opponent's #TROLL cards here have -1 power until the start of your next turn.,,4,,HSATCG DB 12-30 Characters_10.png,001 The Opening Note,C010,001-C010,C:\Users\luche\Documents\Writing\Games\Homestuck ATCG\nanDeck\Star4.png
