TITLE,subtitle,Enter Cost,Game Text,Flavorlogue,Stars,Art Credit,Picture,Set Release,Card Number,ID NUMBER,STAR PIC
TIME LOOP,brb,2g,"Attach to your character card with an enter cost of grist. // Gain the attached character card's enter cost in grist + 2 grist, and then put the character card and this invenentory card back into your deck. Shuffle your deck.",,3,,HSATCG 3-12 Inventory_01.png,001 The Opening Note,I001,001-I001,\Star3.png
LONG SNOUT,assists you in the hunt,2g,Attach to your #BEAST card. // +1 Power to the attached card.,,3,,HSATCG 3-12 Inventory_02.png,001 The Opening Note,I002,001-I002,\Star3.png
FETCH,what the cat dragged in,2g,Attach to your #BEAST card. // The attached card gains the following text: // Ability (1g) Move all boons to one of your #HUMAN cards.,,3,,HSATCG 3-12 Inventory_03.png,001 The Opening Note,I003,001-I003,\Star3.png
ALTERED TIMELINE,wait i have a better idea,1g,"Attach to your character card. // Move the attached character card into storage under any other card, then discard this inventory card.",,2,,HSATCG 3-12 Inventory_04.png,001 The Opening Note,I004,001-I004,\Star2.png
ASTROPHYSICS,shrunken planet,3g,Attach this to any planet card. // The attached planet card has -2 max damage.,,3,,HSATCG 3-12 Inventory_05.png,001 The Opening Note,I005,001-I005,\Star3.png
SPACETIME DISTORTION,theres no up in space,2g,"Attach this to your planet card. // Before you draw during your Prep Phase, you may choose to look at the top card of your deck- and return it the top or bottom, of your deck.",,2,,HSATCG 3-12 Inventory_06.png,001 The Opening Note,I006,001-I006,\Star2.png
TEAMWORK,friendship is magic,3g,Attach this to your #HUMAN card. // The attached card gains +1 power per every other one of your #HUMAN cards here.,,4,,HSATCG 3-12 Inventory_07.png,001 The Opening Note,I007,001-I007,\Star4.png
JET PACK,pchooooo,1g,"Attach this to your character card. // The attached character may move for 0 Grist. // If you move the character card in this way, discard this inventory card.",,2,,HSATCG 3-12 Inventory_08.png,001 The Opening Note,I008,001-I008,\Star2.png
TELEPORTALIZER,tactical retreat,3g,Attach this to your character card. // The attached character card may move from any other location to your planet for 1g.,,4,,HSATCG 3-12 Inventory_09.png,001 The Opening Note,I009,001-I009,\Star4.png
EMPRESS'S ORDERS,send the fleet,4g,"Attach this to your ALTERNIA planet card. // You may choose to move all your #TROLL cards here to another player's planet for no cost. // Once you move cards in this way, discard this inventory card.",,3,,HSATCG 3-12 Inventory_10.png,001 The Opening Note,I010,001-I010,\Star3.png
TIME LOTUS CAPSULE,just you wait,2g,"Attach this to your character card at your planet. // While this inventory card is attached, a character can not be destroyed or tapped. When the character would be destroyed, destroy this inventory card instead.",,3,,HSATCG 3-12 Inventory_11.png,001 The Opening Note,I011,001-I011,\Star3.png
SWANKY HAT,outdress em all,2g,Attach this to your character card. // All opponent's character cards here with inventory attached have -1 power.,,2,,HSATCG 3-12 Inventory_12.png,001 The Opening Note,I012,001-I012,\Star2.png
BLANK CAPTCHACARD,extra inventory,2g,Attach this to your character card. // The attached character card can have up to 4 boons on it.,,3,,HSATCG 3-12 Inventory_13.png,001 The Opening Note,I013,001-I013,\Star3.png
CARPENTER DRONES,busy builders,4g,"Attach this to your ALTERNIA planet card. // During your Prep Phase, before you draw, you may put the top card of your discard pile into your deck and shuffle your deck.",,3,,HSATCG 3-12 Inventory_14.png,001 The Opening Note,I014,001-I014,\Star3.png
SHOOSH-PAP,you need to calm down,1g,"Attach this an opponent's character card. // The attached character card looses all it's boons, and then discard this inventory card.",,2,,HSATCG 3-12 Inventory_15.png,001 The Opening Note,I015,001-I015,\Star2.png
MATRIORB,a chance of hope,5g,"Attach this to your ALTERNIA planet card. // If you have no #TROLLS here, you may destroy this inventory card and play any #TROLL cards from your discard pile here for no cost. // Destroy this inventory card if your planet takes any damage while this is attached.",,3,,HSATCG 3-12 Inventory_16.png,001 The Opening Note,I016,001-I016,\Star3.png
HOSTILE ALIEN,born to conquer,2g,"Attach this to your #TROLL card. // The attached character card is always considered ""invading"" for the purpose of gaining conditional bonuses.",,3,,HSATCG 3-12 Inventory_17.png,001 The Opening Note,I017,001-I017,\Star3.png
CLOAKING DEVICE,blinded by the lights,5g,Attach this to your planet card. // Opponents may not move character cards here. Destroy this inventory card if your planet takes any damage.,,4,,HSATCG 3-12 Inventory_18.png,001 The Opening Note,I018,001-I018,\Star4.png
PLAGUE AND DROUGHT,a pox on you,5g,Attach this to an opponent's planet card. // Characters do not earn boons here. Destroy this card if the attached planet takes any damage.,,4,,HSATCG 3-12 Inventory_19.png,001 The Opening Note,I019,001-I019,\Star4.png
ANCESTRAL GUIDANCE,its in your blood,4g,Attach this to your #TROLL #ANCESTOR card. // Your other #TROLL cards with the same -BLOOD tag here gain +1 power.,,4,,HSATCG 3-12 Inventory_20.png,001 The Opening Note,I020,001-I020,\Star4.png
PLOT ARMOR,they have to survive,2g,Attach to your character card at your planet // The attached character card resists 1 power against being destroyed by attacks or abilities.,,3,,HSATCG 3-12 Inventory_21.png,001 The Opening Note,I021,001-I021,\Star3.png
