TITLE,subtitle,Power,Max Damage,Draw Boost,Game Text,Flavorlogue,Stars,Art Credit,Picture,Picture (Destroyed),Set Release,Card Number,ID NUMBER,STAR PIC
ALTERNIA,alien hive world,2,6,1,Your invading #TROLL cards gain +1 power during all score phases.,,3,,HSATCG 11-24 Planets Intact_01.png,HSATCG 11-24 Planets Destroyed_01.png,001 The Opening Note,P001,001-P001,\Star3.png
EARTH C,better than ever,3,5,1,"During your Prep Phase, gain +1 Grist for every one of your #HUMAN cards here.",,3,,HSATCG 11-24 Planets Intact_02.png,HSATCG 11-24 Planets Destroyed_02.png,001 The Opening Note,P002,001-P002,\Star3.png
EARTH C,blank slate,2,3,2,"During your Prep Phase, choose one invader card here- that card looses all game text until the end of your score phase.",,5,,HSATCG 11-24 Planets Intact_03.png,HSATCG 11-24 Planets Destroyed_03.png,001 The Opening Note,P003,001-P003,\Star5.png
ALTERNIA,a learned knack for cruelty,1,6,1,"During your Prep Phase, gain +1 Grist for every character card here with 5+ power.",,3,,HSATCG 11-24 Planets Intact_04.png,HSATCG 11-24 Planets Destroyed_04.png,001 The Opening Note,P004,001-P004,\Star3.png
EARTH C,in full bloom,1,6,1,"During your Prep Phase, you may remove a boon from up to three character cards here. Any card that had a boon removed this way gains +1 Power until the end of your Score Phase.",,3,BaconSpider,HSATCG 11-24 Planets Intact_05.png,HSATCG 11-24 Planets Destroyed_05.png,001 The Opening Note,P005,001-P005,\Star3.png
ALTERNIA,a vision of something better,2,4,2,"During your Prep Phase, before your draw, for every #ANCESTOR here you may look at one card on the top of your deck- and put it either on the bottom, or top of your deck.",,5,,HSATCG 11-24 Planets Intact_06.png,HSATCG 11-24 Planets Destroyed_06.png,001 The Opening Note,P006,001-P006,\Star5.png
LAND OF COLORS AND MAYHAM,looming countdown,2,4,1,"During your score phase, you may remove a boon from one of your #LEPRECHAUN characters to destroy a moon here.",,3,,HSATCG 11-24 Planets Intact_07.png,HSATCG 11-24 Planets Destroyed_07.png,002 Paradox Space Roadtrip,P001,002-P001,\Star3.png
BEFORUS,conquering flag of friendship,2,6,1,Your invading characters resist +1 power to be destroyed by attacks or abilities.,,4,,HSATCG 11-24 Planets Intact_08.png,HSATCG 11-24 Planets Destroyed_08.png,002 Paradox Space Roadtrip,P002,002-P002,\Star4.png
EARTH ALPHA,conform or else,2,4,2,"During your prep pase, you may remove a boon from on of your characters here. If you do, until the start of your next turn, all your characters (including those in your discard pile) also have the #TAGS of the character you removed a boon from.",,5,,HSATCG 11-24 Planets Intact_09.png,HSATCG 11-24 Planets Destroyed_09.png,002 Paradox Space Roadtrip,P003,002-P003,\Star5.png
EARTH ALPHA,biblical flood,2,6,1,"Whenever one of your characters here attacks, invading tapped targets are considered having -1 power during the attack.",,4,,HSATCG 11-24 Planets Intact_10.png,HSATCG 11-24 Planets Destroyed_10.png,002 Paradox Space Roadtrip,P004,002-P004,\Star4.png
